Spanish,English
parte,part
historia,history
buscar,search
solamente,only
policía,police
pensaba,thought
ayuda,help
solicitud,request
género,kind
mes,month
hermano,brother
dejar,let
porque,because
poner,to put
ninguno,no
correa,leash
ellos,them
ciudad,city
cada,each
hablado,speak
llegado,come
debería,should
bebé,baby
mucho tiempo,long time
horas,hours
irán,will
mientras,while
revisar,meet again
ninguna,any
plaza,square
habla,speak
entendido,understood
sabía,knew
eran,were
atención,Warning
aquí está,here is
podría,could
caso,case
dar,give
tipo,type
sus,their
dado,given
tren,train
cuerpo,body
lugar,place
ojos,eyes
manera,way
escucha,listen
cuyo,whose
encuentra,find
primero,first
perdido,lost
mano,hand
primera,first
lado,side
poder,power
viejo,old
sé,be
aquí,here
mañana,morning
tanto,so much
niño,child
punto,point
venido,came
después,after
perdón,sorry
vengan,come
delante,in front of
hacia,towards
minutos,minutes
solicitado,request
habitación,bedroom
puesto,placed
hermosa,beautiful
ley,law
me gustaría,would like to
hoy,today
esposo,husband
causa,cause
finalmente,finally
espera,hope
agua,water
esperen,Wait
salido,left
nuevo,new
trabajo,job
detener,Stop
diría,would say
tierra,Earth
cuenta,account
da,given
lejos,far
fin,end
creer,believe
cariño,sweetheart
grande,large
más bien,rather
tendrá,will have
chicas,girls
jugar,to play
oficina,office
